NSN          	SRAN	INVENTORY                                                    
1560014455779	W	1                                                               
1560014455781	W	4                                                               
1560014455782	W	7                                                               
1560014455783	W	2                                                               
1560014458063	W	76                                                              
1560014458083	W	51                                                              
1560014458370	W	26                                                              
1560014458379	W	66                                                              
1560014459025	W	5                                                               
1560014461272	W	9                                                               
1560014461291	W	2                                                               
1560014462031	W	4                                                               
1560014462032	W	1                                                               
1560014462418	W	33                                                              
1560014462419	W	17                                                              
1560014462420	W	5                                                               
1560014463367	W	33                                                              
1560014463380	W	49                                                              
1560014464113	W	1                                                               
1560014464126	W	10                                                              
1560014467145	W	4                                                               
1560014467146	W	1                                                               
1560014467148	W	1                                                               
1560014467153	W	8                                                               
1560014467164	W	3                                                               
1560014467165	W	4                                                               
1560014467179	W	1                                                               
1560014467180	W	5                                                               
1560014467421	W	3                                                               
1560014467425	W	7                                                               
1560014467427	W	18                                                              
1560014467429	W	3                                                               
1560014468083	W	44                                                              
1560014468088	W	11                                                              
1560014469452	W	33                                                              
1560014469455	W	16                                                              
1560014469469	W	13                                                              
1560014469472	W	18                                                              
1560014469476	W	9                                                               
1560014469477	W	6                                                               
1560014469880	W	17                                                              
1560014470586	W	2                                                               
1560014471474	W	4                                                               
1560014471480	W	84                                                              
1560014472611	W	6                                                               
1560014472626	W	5                                                               
1560014472629	W	13                                                              
1560014472634	W	3                                                               
1560014472639	W	13                                                              
1560014472671	W	4                                                               
1560014474318	W	8                                                               
1560014474330	W	24                                                              
1560014476962	W	8                                                               
1560014476964	W	2                                                               
1560014476967	W	9                                                               
1560014476968	W	1                                                               
1560014476969	W	7                                                               
1560014476971	W	3                                                               
1560014478541	W	7                                                               
1560014478542	W	6                                                               
1560014478553	W	1                                                               
1560014478557	W	19                                                              
1560014478560	W	8                                                               
1560014478562	W	8                                                               
1560014478572	W	1                                                               
1560014483359	W	3                                                               
1560014489845	W	2                                                               
1560014489855	W	1                                                               
1560014489946	W	42                                                              
1560014490448	W	4                                                               
1560014490449	W	4                                                               
1560014490735	W	33                                                              
1560014491028	W	34                                                              
1560014492632	W	10                                                              
1560014493025	W	2                                                               
1560014494221	W	4                                                               
